Pseudoalteromonas hodoensis
Paenibacillus illinoisensis
Paenibacillus terreus
Photobacterium frigidiphilum
Fictibacillus phosphorivorans
Fictibacillus nanhaiensis
Shewanella canadensis
Shewanella kaireitica
Vibrio kanaloae
Thalassospira australica
Thalassospira tepidiphila
Cobetia litoralis
Blastococcus saxobsidens
Bacillus albus
Bacillus cereus
Bacillus paramycoides
Bacillus pseudofirmus
Bacillus oceani
Bacillus aryabhattai
Bacillus altitudinis
Bacillus safensis
Moritella abyssi
Aurantimonas coralicida
